"Series","Geography Code","Geography","Unit","Frequency","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Agriculture (% of GDP)","AL","Albania"," ","Yearly","21.883","21.885","21.849","21.527","21.288","20.674","20.092","19.743","20.509","19.6","19"
"Agriculture (% of GDP)","AM","Armenia"," ","Yearly","20.068","20.924","21.367","23.19","21.899","19.368","17.19","15.035","15.52","15","14.5"
"Agriculture (% of GDP)","AU","Australia"," ","Yearly","3.06","3.078","2.962","2.87","2.769","2.81","2.614","2.218","2.267","2.845","2.5"
"Agriculture (% of GDP)","AZ","Azerbaijan"," ","Yearly","5.665","5.626","5.341","5.643","5.969","6.22","6.41","6.714","7.157","6.9","7"
"Agriculture (% of GDP)","BH","Bahrain"," ","Yearly","0.295","0.284","0.302","0.285","0.294","0.281","0.286","0.283","0.297","0.3","0.3"
"Agriculture (% of GDP)","BY","Belarus"," ","Yearly","11.499","10.841","10.896","11.057","11.785","12.127","11.815","12.001","12.292","11.8","12.2"
"Agriculture (% of GDP)","BE","Belgium"," ","Yearly","0.781","0.668","0.659","0.766","0.705","0.724","0.641","0.633","0.622","0.594","0.7"
"Agriculture (% of GDP)","BT","Bhutan"," ","Yearly","12.49","12.428","12.05","11.687","11.298","11.146","11.385","10.768","12.259","11.8","11.6"
"Agriculture (% of GDP)","BA","Bosnia and Hercegovina"," ","Yearly","7.313","8.266","7.139","7.563","7.894","7.027","7.392","7.046","7.744","7.2","7.1"
"Agriculture (% of GDP)","BN","Brunei"," ","Yearly","0.723","0.73","0.785","0.838","0.829","0.805","0.792","0.751","0.851","1.011","0.8"
"Agriculture (% of GDP)","BG","Bulgaria"," ","Yearly","4.703","4.957","5.254","4.701","4.925","5.171","4.898","4.915","4.977","5.097","4.681"
"Agriculture (% of GDP)","CA","Canada"," ","Yearly","1.935","2.223","1.989","2.06","2.141","2.117","2.047","2.094","2.295","2.01","2.1"
"Agriculture (% of GDP)","CN","China"," ","Yearly","7.699","7.413","7.185","6.977","6.748","6.565","6.368","6.194","6.249","6.2","6.1"
"Agriculture (% of GDP)","HR","Croatia"," ","Yearly","3.926","4.155","3.589","3.582","3.678","3.475","3.585","3.528","3.978","3.6","3.5"
"Agriculture (% of GDP)","CZ","Czech Republic"," ","Yearly","2.358","2.318","2.412","2.454","2.523","2.302","2.318","2.358","2.66","2.651","2.3"
"Agriculture (% of GDP)","EE","Estonia"," ","Yearly","3.181","2.986","3.261","3.296","2.441","2.444","1.944","2.486","2.4","1.803","1.8"
"Agriculture (% of GDP)","FJ","Fiji"," ","Yearly","10.673","10.296","10.296","10.214","9.067","9.622","9.713","10.099","11.588","11.4","11"
"Agriculture (% of GDP)","FR","France"," ","Yearly","1.57","1.529","1.735","1.722","1.496","1.583","1.615","1.548","1.576","1.47","1.6"
